Generation,Cohesion,Alignment,Separation,Fitness
0,20,0.52,0.4,0.9837373368652517
0,30,0.52,0.6,0.9828574217532376
0,20,0.52,0.6,0.982223864799748
0,30,0.52,0.4,0.9761936322515652
0,25,0.65,0.5,0.9691620168150599
0,20,0.78,0.4,0.9625610438085469
0,20,0.78,0.6,0.9277781966930699
0,25,0.65,0.5,0.92452621578012
0,30,0.52,0.6,0.9096771411360783
0,25,0.65,0.5,0.8998829077358551
0,20,0.52,0.6,0.8983779909143064
0,25,0.65,0.5,0.8873156239049133
0,30,0.52,0.6,0.871931700821013
0,20,0.78,0.4,0.7912210743679222
0,30,0.78,0.6,0.5560898758667085
0,25,0.65,0.5,0.4497927986924858
0,20,0.78,0.4,0.31687268245457595
0,20,0.78,0.6,0.3029205373750099
0,20,0.78,0.6,0.29301779552563717
0,20,0.52,0.4,0.19726167215811524
1,20,0.52,0.4,0.9843492300206627
1,36,0.41600000000000004,0.72,0.9839053398281655
1,36,0.41600000000000004,0.48,0.9836129996508813
1,30,0.52,0.4,0.9830285596973384
1,20,0.52,0.6,0.975976831772307
1,36,0.41600000000000004,0.48,0.9654393646477025
1,25,0.65,0.5,0.9631502281271407
1,24,0.624,0.32000000000000006,0.9606577769396537
1,36,0.41600000000000004,0.48,0.9590043466601467
1,30,0.52,0.6,0.9539535067325166
1,16,0.624,0.48,0.932520753249304
1,16,0.41600000000000004,0.48,0.9103806295604563
1,24,0.41600000000000004,0.48,0.8836189872714938
1,30,0.52,0.6,0.8518991115207085
1,24,0.41600000000000004,0.72,0.8047419341648941
1,20,0.52,0.6,0.7208159207872444
1,20,0.52,0.4,0.44305881215383536
1,16,0.41600000000000004,0.72,0.09413133656701339
1,24,0.41600000000000004,0.72,0.08298239259222226
1,24,0.41600000000000004,0.72,0.07440695569671085
2,36,0.41600000000000004,0.32000000000000006,0.9905627076713087
2,36,0.41600000000000004,0.48,0.9901263055646571
2,24,0.41600000000000004,0.48,0.9880574527026089
2,30,0.52,0.4,0.9876499319435104
2,36,0.41600000000000004,0.48,0.9865324507064112
2,20,0.52,0.6,0.9857517204450629
2,16,0.624,0.72,0.9619506903866452
2,43.199999999999996,0.33280000000000004,0.864,0.9522234005299796
2,36,0.41600000000000004,0.72,0.9429410243942602
2,24,0.624,0.72,0.9400828362121121
2,20,0.52,0.4,0.8773441034531299
2,43.199999999999996,0.49920000000000003,0.576,0.877069006920396
2,36,0.41600000000000004,0.48,0.8674469768894154
2,28.8,0.49920000000000003,0.576,0.7394296786862498
2,28.8,0.33280000000000004,0.384,0.5844860759635929
2,28.8,0.49920000000000003,0.384,0.5191371995830083
2,28.8,0.33280000000000004,0.576,0.3149088312130233
2,16,0.624,0.32000000000000006,0.2036837741987726
2,24,0.41600000000000004,0.48,0.19939345808953207
2,16,0.41600000000000004,0.48,0.07688515000651032
3,19.200000000000003,0.49920000000000003,0.576,0.9934158557812774
3,36,0.41600000000000004,0.32000000000000006,0.9921497309670583
3,30,0.52,0.4,0.9913639339877016
3,43.199999999999996,0.33280000000000004,0.576,0.9899979545142936
3,28.8,0.49920000000000003,0.25600000000000006,0.9784875154118602
3,36,0.41600000000000004,0.48,0.9779527153128972
3,36,0.624,0.32000000000000006,0.977138313221482
3,24,0.624,0.32000000000000006,0.9689711009196263
3,36,0.624,0.48,0.9688879640891898
3,36,0.41600000000000004,0.48,0.9666076493299544
3,43.199999999999996,0.33280000000000004,0.384,0.9606770818485213
3,28.799999999999997,0.49920000000000003,0.384,0.9580237083042769
3,43.199999999999996,0.33280000000000004,0.576,0.9497203008273496
3,43.199999999999996,0.49920000000000003,0.576,0.9482928773644521
3,43.199999999999996,0.33280000000000004,0.25600000000000006,0.9344804760873601
3,24,0.41600000000000004,0.48,0.789308903170971
3,43.199999999999996,0.49920000000000003,0.38400000000000006,0.590411320264689
3,19.200000000000003,0.33280000000000004,0.384,0.45987864972852605
3,28.8,0.49920000000000003,0.576,0.3335429722027979
3,43.199999999999996,0.49920000000000003,0.384,0.19682710839154838
4,36,0.41600000000000004,0.32000000000000006,0.9908756130964786
4,28.8,0.33280000000000004,0.38400000000000006,0.9898474024619807
4,34.559999999999995,0.26624000000000003,0.6911999999999999,0.9852495861179212
4,23.040000000000003,0.39936000000000005,0.3072000000000001,0.9852221243336405
4,51.839999999999996,0.39936000000000005,0.4608,0.9848768504682984
4,43.199999999999996,0.33280000000000004,0.576,0.9830656502969161
4,30,0.52,0.4,0.9827553051259741
4,15.360000000000003,0.59904,0.4608,0.9798103669098899
4,28.8,0.33280000000000004,0.25600000000000006,0.9797858238017174
4,15.360000000000003,0.59904,0.6911999999999999,0.9761207531400428
4,23.040000000000003,0.59904,0.3072000000000001,0.9741249451432139
4,34.559999999999995,0.39936000000000005,0.6911999999999999,0.9630488759033135
4,19.200000000000003,0.49920000000000003,0.576,0.9466169091291712
4,28.8,0.49920000000000003,0.25600000000000006,0.9412728774298144
4,23.040000000000003,0.39936000000000005,0.3072000000000001,0.9331013166244325
4,28.8,0.33280000000000004,0.25600000000000006,0.870464989256135
4,24,0.624,0.48,0.8203389788571004
4,24,0.624,0.32000000000000006,0.24232331542660873
4,23.040000000000003,0.59904,0.4608,0.20980387792221564
4,36,0.41600000000000004,0.32000000000000006,0.17162827415983734
5,27.648000000000003,0.31948800000000005,0.3686400000000001,0.9968036628652855
5,18.432000000000002,0.31948800000000005,0.3686400000000001,0.9938268752972658
5,27.647999999999996,0.31948800000000005,0.8294399999999998,0.9930641617001711
5,34.56,0.26624000000000003,0.3072000000000001,0.9930395026823003
5,23.040000000000003,0.39936000000000005,0.46080000000000004,0.9912713008192071
5,62.20799999999999,0.47923200000000005,0.36864,0.9899819018789783
5,43.199999999999996,0.33280000000000004,0.38400000000000006,0.9892326490995861
5,34.559999999999995,0.26624000000000003,0.6911999999999999,0.9889735394865807
5,28.8,0.33280000000000004,0.38400000000000006,0.9886463895811463
5,23.040000000000003,0.26624000000000003,0.3072000000000001,0.9885831230325731
5,23.040000000000003,0.39936000000000005,0.3072000000000001,0.987677397844021
5,36,0.41600000000000004,0.32000000000000006,0.9852570408237683
5,51.839999999999996,0.39936000000000005,0.4608,0.9852515118276668
5,43.199999999999996,0.33280000000000004,0.38400000000000006,0.9798820979289342
5,41.472,0.31948800000000005,0.36864,0.9778307656805821
5,28.8,0.33280000000000004,0.38400000000000006,0.962802394645062
5,18.432000000000002,0.31948800000000005,0.3686400000000001,0.8525171903093316
5,62.20799999999999,0.31948800000000005,0.36864,0.7261179119728273
5,41.471999999999994,0.21299200000000004,0.8294399999999998,0.18828187872773353
5,41.471999999999994,0.21299200000000004,0.55296,0.13391777665543134
6,41.472,0.21299200000000004,0.3686400000000001,0.996870190516591
6,22.1184,0.25559040000000005,0.29491200000000006,0.9955913249866307
6,27.647999999999996,0.31948800000000005,0.8294399999999998,0.9944227021492491
6,18.432000000000002,0.31948800000000005,0.3686400000000001,0.9898434384678579
6,27.648000000000003,0.31948800000000005,0.3686400000000001,0.988734096027606
6,33.177600000000005,0.25559040000000005,0.29491200000000006,0.9882855912480072
6,27.648000000000003,0.31948800000000005,0.55296,0.9871304242150963
6,34.56,0.26624000000000003,0.3072000000000001,0.9772138799910869
6,27.648000000000003,0.47923200000000005,0.55296,0.9583520389106971
6,23.040000000000003,0.39936000000000005,0.46080000000000004,0.9535277260835932
6,33.177600000000005,0.25559040000000005,0.29491200000000006,0.9310545114068757
6,22.1184,0.38338560000000005,0.4423680000000001,0.8654361021307077
6,33.177600000000005,0.38338560000000005,0.29491200000000006,0.7957844919078745
6,27.648000000000003,0.21299200000000004,0.3686400000000001,0.7311282476799774
6,27.648000000000003,0.31948800000000005,0.55296,0.7234291301895268
6,33.17759999999999,0.25559040000000005,0.9953279999999998,0.600541685474279
6,22.118399999999998,0.38338560000000005,0.6635519999999999,0.5957151056371889
6,14.745600000000003,0.25559040000000005,0.29491200000000006,0.1963836810495319
6,22.118399999999998,0.38338560000000005,0.6635519999999999,0.18880426673982287
6,27.648000000000003,0.31948800000000005,0.3686400000000001,0.06251438801668738
7,41.472,0.21299200000000004,0.3686400000000001,0.998042412755015
7,22.1184,0.25559040000000005,0.29491200000000006,0.9968791184685698
7,22.118400000000005,0.25559040000000005,0.4423680000000001,0.9965644645009999
7,17.69472,0.20447232000000004,0.23592960000000007,0.9952794051421235
7,18.432000000000002,0.31948800000000005,0.3686400000000001,0.9947627573072456
7,22.118400000000005,0.25559040000000005,0.29491200000000006,0.9933781554195694
7,27.648000000000003,0.31948800000000005,0.3686400000000001,0.9931670250140345
7,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9931436423188871
7,33.17759999999999,0.38338560000000005,0.6635519999999999,0.9931303734902179
7,27.647999999999996,0.31948800000000005,0.8294399999999998,0.9898833003255026
7,49.7664,0.25559040000000005,0.29491200000000006,0.9855519393693419
7,22.1184,0.25559040000000005,0.29491200000000006,0.9850114731898665
7,33.177600000000005,0.25559040000000005,0.29491200000000006,0.980797340468227
7,14.745600000000003,0.25559040000000005,0.4423680000000001,0.9480510321235415
7,26.542080000000002,0.20447232000000004,0.23592960000000007,0.7488355816185359
7,26.542080000000002,0.20447232000000004,0.35389440000000005,0.7262135334991802
7,22.118399999999998,0.38338560000000005,0.9953279999999998,0.33549202122699123
7,14.745600000000003,0.25559040000000005,0.29491200000000006,0.17635643027489784
7,33.17759999999999,0.38338560000000005,0.6635519999999999,0.10089539074655378
7,33.177600000000005,0.25559040000000005,0.29491200000000006,0.06858304216132298
